AGENCY_CODE,LABM_CODE,LABP_CODE,LABMT_CODE,LABM_NAME,LABM_SHORT_NAME,LABM_SHORT_NAME_Orig,LABM_REF,LABM_MASK,LABM_UNITS,LABM_LOW_VALUE,LABM_HIGH_VALUE,est_type
999,13D2,SI,,Acid-extractable soil silicon - ICPAES,Extractable Si,Extractable Si,ASLSH SCM,,mg/kg,,,
501,14_NR_S,,,,,,,,,,,
999,14A1,SE,14.01,Saturation extract - filter suction,Saturation extract,Saturation extract,ASLSH Vol 3,,,,,
999,14A2,SE,14.01,Saturation extract - automatic extractor,Saturation extract,Saturation extract,ASLSH Vol 3,,,,,
999,14A3,SE,14.01,"Saturation extract - centrifuge, closed system",Saturation extract,Saturation extract,ASLSH Vol 3,,,,,
999,14A4,SE,14.01,"Saturation extract - centrifuge, Gillman",Saturation extract,Saturation extract,ASLSH Vol 3,,,,,
999,14B1,EC,14.02,Electrical conductivity/SE,Ecx,Ecx,ASLSH Vol 3,,dS/m,,,
999,14C1,PH/SE,14.03,pH/SE,pH/SE,pH/SE,ASLSH Vol 3,,,,,
999,14D1_BC,BICARB/SE,14.041,Bicarbonate/SE and carbonate/SE - potentiometric titration,Bicarbonate/SE,Bicarbonate/SE,ASLSH Vol 3,,mequiv/L,,,
303,14D1_BiCar,BICARB/SE,,Bicarbonate/SE - potentiometric titration,Bicarb/SE - titratio,Bicarb/SE - titratio,,,,,,
999,14D1_C,CARB/SE,14.042,Bicarbonate/SE and carbonate/SE - potentiometric titration,Carbonate/SE,Carbonate/SE,ASLSH Vol 3,,mequiv/L,,,
303,14D1_Carb,CARBONATES,,Carbonate/SE - potentiometric titration,Carb/SE - titration,Carb/SE - titration,,,,,,
999,14D2_BC,BICARB/SE,14.041,Bicarbonate/SE and carbonate/SE - indicator method,Bicarbonate/SE,Bicarbonate/SE,ASLSH Vol 3,,mequiv/L,,,
303,14D2_BiCar,BICARB/SE,,Bicarbonate/SE  - indicator method,BiCarb/SE - indicato,BiCarb/SE - indicato,,,,,,
999,14D2_C,CARB/SE,14.042,Bicarbonate/SE and carbonate/SE - indicator method,Carbonate/SE,Carbonate/SE,ASLSH Vol 3,,mequiv/L,,,
303,14D2_Carb,CARBONATES,,Carbonate/SE - indicator method,Carb/SE - indicator,Carb/SE - indicator,,,,,,
999,14E1,CHLORIDE/SE,,Chloride/SE - potentiometric titration,Chloride/SE,Chloride/SE,ASLSH Vol 3,,mequiv/L,,,
999,14E2,CHLORIDE/SE,14.05,Chloride/SE - ion chromatography,Chloride/SE,Chloride/SE,ASLSH Vol 3,,mequiv/L,,,
999,14E2a,CHLORIDE/SE,,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity),Chloride/SE,Chloride/SE,ASLSH SCM,,mequiv/L,,,
999,14E2b,CHLORIDE/SE,,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity),Chloride/SE,Chloride/SE,ASLSH SCM,,mequiv/L,,,
999,14E3,CHLORIDE/SE,14.06,Chloride/SE - ICPAES,Chloride/SE,Chloride/SE,ASLSH Vol 3,,mequiv/L,,,
999,14F1,SULFATE/SE,14.06,Sulfate/SE - ICPAES,Sulfate/SE,Sulfate/SE,ASLSH Vol 3,,mequiv/L,,,
999,14F2,SULFATE/SE,14.06,Sulfate/SE - turbidimetric,Sulfate/SE,Sulfate/SE,ASLSH Vol 3,,mequiv/L,,,
999,14F3,SULFATE/SE,14.06,Sulfate/SE - gravimetric,Sulfate/SE,Sulfate/SE,ASLSH Vol 3,,mequiv/L,,,
999,14F4,SULFATE/SE,14.06,Sulfate/SE - automated colour,Sulfate/SE,Sulfate/SE,ASLSH Vol 3,,mequiv/L,,,
999,14F5,SULFATE/SE,14.06,Sulfate/SE - ion chromatography,Sulfate/SE,Sulfate/SE,ASLSH Vol 3,,mequiv/L,,,
999,14F5a,SULFATE/SE,,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity),Sulfate/SE,Sulfate/SE,ASLSH SCM,,mequiv/L,,,
999,14F5b,SULFATE/SE,,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity),Sulfate/SE,Sulfate/SE,ASLSH SCM,,mequiv/L,,,
999,14G1,FLUORIDE/SE,14.07,Fluoride/SE - specific ion electrode,Fluoride/SE,Fluoride/SE,ASLSH Vol 3,,mequiv/L,,,
999,14G2,FLUORIDE/SE,14.07,Fluoride/SE - ion chromatography,Fluoride/SE,Fluoride/SE,ASLSH Vol 3,,mequiv/L,,,
999,14H1_CA,SOL_BASES_CA,14.081,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases Ca,Soluble bases Ca,ASLSH Vol 3,,mg/L,,,
999,14H1_K,SOL_BASES_K,14.083,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases K,Soluble bases K,ASLSH Vol 3,,mg/L,,,
999,14H1_MG,SOL_BASES_MG,14.082,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases Mg,Soluble bases Mg,ASLSH Vol 3,,mg/L,,,
999,14H1_NA,SOL_BASES_NA,14.084,"Soluble bases/SE (Ca,Mg,K,Na)",Soluble bases Na,Soluble bases Na,ASLSH Vol 3,,mg/L,,,
999,15_BASES,ECEC,15.131,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations,ECEC,ECEC,CSIRO,,meq/100g,,,
999,15_HSK_CEC,CEC,15.00,CEC - meq per 100g of soil - HOSK,CEC,CEC,CSIRO,,meq/100g,,,
999,15_NR,ECEC,15.13,Sum of Ex. cations + Ex. acidity - Not recorded,ECEC,ECEC,CSIRO NR,,meq/100g,,,
999,15_NR_AL,EXCH_AL,15.07,Aluminium Cation - meq per 100g of soil - Not recorded,Exch. Al++,Exch. Al++,CSIRO NR,,meq/100g,,,
501,15_NR_BSa,,,,,,,,,,,
999,15_NR_CA,EXCH_BASES_CA,15.001,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded,Exch. Ca++,Exch. Ca++,CSIRO NR,,meq/100g,,,
999,15_NR_CEC,EXCH_BASES_CEC,15.0451,CEC - meq per 100g of soil - Not recorded,CEC,CEC,CSIRO NR,,meq/100g,,,
501,15_NR_CMR,,,,,,,,,,,
999,15_NR_H,EXCH_H,15.09,Hydrogen Cation - meq per 100g of soil - Not recorded,Exch. H+,Exch. H+,CSIRO NR,,meq/100g,,,
999,15_NR_K,EXCH_BASES_K,15.003,Exch. basic cations (K++) - meq per 100g of soil - Not recorded,Exch. K++,Exch. K++,CSIRO NR,,meq/100g,,,
999,15_NR_MG,EXCH_BASES_MG,15.002,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded,Exch. Mg++,Exch. Mg++,CSIRO NR,,meq/100g,,,
501,15_NR_MN,,,,,,,,,,,
999,15_NR_NA,EXCH_BASES_NA,15.004,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded,Exch. Na++,Exch. Na++,CSIRO NR,,meq/100g,,,
999,15A1_CA,EXCH_BASES_CA,15.011,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
303,15A1_Ca_MQ,,,Exchangeable calcium,Exchangeable calcium,Exchangeable calcium,,,,,,
501,15A1_CEC,,,Exchangeable bases,CEC,,,,meq/100g,,,
999,15A1_K,EXCH_BASES_K,15.013,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15A1_MG,EXCH_BASES_MG,15.012,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
303,15A1_Mg_MQ,,,Exchangeable magnesium,Exchangeable magnesi,Exchangeable magnesi,,,,,,
501,15A1_MN,,,,,,,,,,,
999,15A1_NA,EXCH_BASES_NA,15.014,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15A2_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15A2_CEC,EXCH_BASES_CEC,15.025,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15A2_K,EXCH_BASES_K,15.023,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15A2_MG,EXCH_BASES_MG,15.022,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
999,15A2_NA,EXCH_BASES_NA,15.024,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15A3_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15A3_CEC,EXCH_BASES_CEC,15.025,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15A3_K,EXCH_BASES_K,15.023,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15A3_MG,EXCH_BASES_MG,15.022,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
999,15A3_NA,EXCH_BASES_NA,15.024,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15B1_CA,EXCH_BASES_CA,15.011,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15B1_CEC,EXCH_BASES_CEC,15.013,"CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15B1_K,EXCH_BASES_K,15.013,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15B1_MG,EXCH_BASES_MG,15.012,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
999,15B1_NA,EXCH_BASES_NA,15.014,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15B2_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15B2_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15B2_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15B2_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
999,15B2_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15B3_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15B3_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15B3_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15B3_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
999,15B3_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15C1_CA,EXCH_BASES_CA,15.031,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
303,15C1_Ca_MQ,,,Exchangeable calcium,Exchangeable calcium,Exchangeable calcium,,,,,,
999,15C1_CEC,EXCH_BASES_CEC,15.035,"CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15C1_K,EXCH_BASES_K,15.033,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15C1_MG,EXCH_BASES_MG,15.032,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
303,15C1_Mg_MQ,,,Exchangeable magnesium,Exchangeable magnesi,Exchangeable magnesi,,,,,,
999,15C1_NA,EXCH_BASES_NA,15.034,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15C2_CA,EXCH_BASES_CA,,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,Exch. Ca++,Exch. Ca++,ASLSH SCM,,meq/100g,,,
303,15C2_Ca_MQ,,,Exchangeable calcium - MIR QLD Calibration 1,Exchangeable calcium,Exchangeable calcium,,,,,,
999,15C2_CEC,EXCH_BASES_CEC,,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,CEC,CEC,ASLSH SCM,,meq/100g,,,
303,15C2_CEC_M,CEC,,Cation exchange capacity - MIR QLD Calibration 1,Cation exchange capa,Cation exchange capa,,,,,,
999,15C2_MG,EXCH_BASES_MG,,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy,Exch. Mg++,Exch. Mg++,ASLSH SCM,,meq/100g,,,
303,15C2_Mg_MQ,,,Exchangeable magnesium - MIR QLD Calibration 1,Exchangeable magnesi,Exchangeable magnesi,,,,,,
501,15D1_AL,,,,,,,,,,,
999,15D1_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15D1_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15D1_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
999,15D1_MG,EXCH_BASES_MG,15.022,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. Mg++,Exch. Mg++,ASLSH Vol 3,,meq/100g,,,
999,15D1_NA,EXCH_BASES_NA,15.024,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach",Exch. Na++,Exch. Na++,ASLSH Vol 3,,meq/100g,,,
999,15D2_CA,EXCH_BASES_CA,15.021,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor",Exch. Ca++,Exch. Ca++,ASLSH Vol 3,,meq/100g,,,
999,15D2_CEC,EXCH_BASES_CEC,15.025,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor",CEC,CEC,ASLSH Vol 3,,meq/100g,,,
999,15D2_K,EXCH_BASES_K,15.023,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic",Exch. K++,Exch. K++,ASLSH Vol 3,,meq/100g,,,
